"variant","features","seed","matched","total","objective","iterations"
"working232",232,45,127,138,363.056480686387,4
"working232",232,46,125,138,363.151360831436,3
"working232",232,47,125,138,362.610401364631,4
"working232",232,48,126,138,363.135227074521,3
"working232",232,49,132,138,362.760643170268,3
"working232",232,50,127,138,363.045849673878,3
"working232",232,51,126,138,363.135227074521,3
"working232",232,52,128,138,362.838764864534,3
"working232",232,53,131,138,362.692410797386,5
"working232",232,54,129,138,362.724942060865,3
"working232",232,55,124,138,362.658103844425,2
"working232",232,56,128,138,362.838764864534,3
"working232",232,57,124,138,363.119236033231,3
"working232",232,58,112,138,364.631527019648,5
"working232",232,59,132,138,362.760643170267,4
"working232",232,60,125,138,363.151360831435,4
"working232",232,61,130,138,362.683195198437,3
"working232",232,62,124,138,362.934268106985,3
"working232",232,63,128,138,362.838764864535,3
"working232",232,64,128,138,362.699290250904,4
"working232",232,65,131,138,362.692410797386,3
"working232",232,66,125,138,363.151360831435,4
"working232",232,67,124,138,362.611768263478,3
"working232",232,68,114,138,364.762090186345,4
"working232",232,69,126,138,362.720313953768,4
"working232",232,70,132,138,362.760643170267,5
"working232",232,71,129,138,362.859854103496,4
"working232",232,72,131,138,362.741639502013,3
"working232",232,73,131,138,362.692410797385,2
"working232",232,74,124,138,362.611768263478,2
"working232",232,75,132,138,362.760643170267,6
"working232",232,76,126,138,362.720313953768,3
"working232",232,77,128,138,362.838764864534,3
"working232",232,78,128,138,362.699290250903,4
"working232",232,79,130,138,362.683195198437,5
"working232",232,80,132,138,362.760643170267,6
"working232",232,81,129,138,362.697738776919,3
"working232",232,82,126,138,363.072823046091,3
"working232",232,83,131,138,362.692410797385,4
"working232",232,84,124,138,362.658103844424,3
"working232",232,85,101,138,373.680578357801,8
"working232",232,86,125,138,363.151360831435,4
"working232",232,87,132,138,362.760643170267,4
"working232",232,88,131,138,362.692410797386,3
"working232",232,89,129,138,362.859854103496,3
"working232",232,90,132,138,362.760643170267,5
"working232",232,91,132,138,362.760643170267,7
"working232",232,92,131,138,362.692410797387,8
"working232",232,93,107,138,364.594066928545,4
"working232",232,94,121,138,362.926804511968,4
"working232",232,95,130,138,362.683195198438,3
"working232",232,96,115,138,364.649027291239,3
"working232",232,97,131,138,362.692410797385,3
"working232",232,98,112,138,364.126686523823,3
"working232",232,99,125,138,363.151360831435,3
"working232",232,100,131,138,362.692410797386,5
"working_appendix231",231,1,115,138,363.955722265215,3
"working_appendix231",231,2,132,138,362.06247835428,3
"working_appendix231",231,3,132,138,362.062478354279,5
"working_appendix231",231,4,131,138,361.993669954502,3
"working_appendix231",231,5,114,138,364.096362039033,6
"working_appendix231",231,6,125,138,362.472543794835,4
"working_appendix231",231,7,130,138,361.984826993441,4
"working_appendix231",231,8,128,138,362.140925396649,3
"working_appendix231",231,9,121,138,362.242719314611,3
"working_appendix231",231,10,130,138,361.98482699344,3
"working_appendix231",231,11,126,138,362.295974377586,3
"working_appendix231",231,12,132,138,362.06247835428,5
"working_appendix231",231,13,132,138,362.06247835428,5
"working_appendix231",231,14,126,138,362.037400652946,3
"working_appendix231",231,15,90,138,375.902594059221,5
"working_appendix231",231,16,125,138,362.472543794836,3
"working_appendix231",231,17,125,138,361.925607784276,3
"working_appendix231",231,18,124,138,361.972841471904,2
"working_appendix231",231,19,130,138,361.98482699344,3
"working_appendix231",231,20,127,138,362.359787184087,3
"working_appendix231",231,21,132,138,362.06247835428,5
"working_appendix231",231,22,109,138,363.671980671968,4
"working_appendix231",231,23,132,138,362.062478354281,5
"working_appendix231",231,24,129,138,362.015812655678,4
"working_appendix231",231,25,130,138,361.984826993441,4
"working_appendix231",231,26,121,138,362.24271931461,4
"working_appendix231",231,27,125,138,362.472543794837,3
"working_appendix231",231,28,127,138,362.191177565856,3
"working_appendix231",231,29,109,138,363.671980671969,4
"working_appendix231",231,30,127,138,362.359787184087,3
"working_appendix231",231,31,110,138,364.090873642711,5
"working_appendix231",231,32,128,138,362.302212940336,3
"working_appendix231",231,33,124,138,362.25219466869,4
"working_appendix231",231,34,129,138,362.162641435147,3
"working_appendix231",231,35,132,138,362.062478354281,4
"working_appendix231",231,36,116,138,364.066981280761,3
"working_appendix231",231,37,124,138,361.927402726752,3
"working_appendix231",231,38,128,138,362.017851649053,3
"working_appendix231",231,39,127,138,362.359787184087,4
"working_appendix231",231,40,130,138,361.984826993441,4
"working_appendix231",231,41,131,138,361.993669954502,6
"working_appendix231",231,42,121,138,362.24271931461,3
"working_appendix231",231,43,124,138,361.927402726752,4
"working_appendix231",231,44,121,138,362.24271931461,4
"working_appendix231",231,45,127,138,362.359787184088,4
"working_appendix231",231,46,125,138,362.472543794837,3
"working_appendix231",231,47,125,138,361.925607784276,4
"working_appendix231",231,48,127,138,362.359787184087,3
"working_appendix231",231,49,132,138,362.06247835428,3
"working_appendix231",231,50,127,138,362.348066895759,3
"working_appendix231",231,51,127,138,362.359787184087,3
"working_appendix231",231,52,128,138,362.140925396649,3
"working_appendix231",231,53,131,138,361.993669954503,5
