"variant","word","reference","cluster"
"working_appendix231","I",2,2
"working_appendix231","me",2,2
"working_appendix231","mine",2,2
"working_appendix231","my",2,2
"working_appendix231","myself",2,2
"working_appendix231","one_pron",2,2
"working_appendix231","one_s",2,2
"working_appendix231","oneself",2,2
"working_appendix231","their_sing",2,2
"working_appendix231","theirs_sing",2,2
"working_appendix231","their_plur",2,2
"working_appendix231","theirs_plur",2,2
"working_appendix231","them_sing",2,2
"working_appendix231","them_plur",2,2
"working_appendix231","themself",2,2
"working_appendix231","themselves",2,2
"working_appendix231","they_sing",2,2
"working_appendix231","they_plur",2,2
"working_appendix231","we_pron",2,2
"working_appendix231","us_pron",2,2
"working_appendix231","our",2,2
"working_appendix231","ours",2,2
"working_appendix231","ourselves",2,2
"working_appendix231","what_pron",2,1
"working_appendix231","whatever_pron",2,1
"working_appendix231","which_rel_pron",2,1
"working_appendix231","who_int",2,2
"working_appendix231","who_rel",2,2
"working_appendix231","whom_int",2,2
"working_appendix231","whom_rel",2,2
"working_appendix231","whose_int",2,2
"working_appendix231","whose_rel",2,2
"working_appendix231","whoever",2,2
"working_appendix231","whoever_s",2,2
"working_appendix231","whosever",2,2
"working_appendix231","whosoever",2,2
"working_appendix231","whosoever_s",2,2
"working_appendix231","you_pron_sing",2,2
"working_appendix231","you_pron_plur",2,2
"working_appendix231","your_sing",2,2
"working_appendix231","yours_sing",2,2
"working_appendix231","your_plur",2,2
"working_appendix231","yours_plur",2,2
"working_appendix231","yourself",2,2
"working_appendix231","yourselves",2,2
"working_appendix231","today",2,1
"working_appendix231","tomorrow",2,1
"working_appendix231","tonight",2,1
"working_appendix231","yesterday",2,1
"working_appendix231","there",2,1
"no_word_component_columns","a",1,1
"no_word_component_columns","a_certain",1,1
"no_word_component_columns","a_few",1,1
"no_word_component_columns","a_great_many",1,1
"no_word_component_columns","a_little",1,1
"no_word_component_columns","all",1,1
"no_word_component_columns","another",1,1
"no_word_component_columns","any",1,1
"no_word_component_columns","anybody",1,1
"no_word_component_columns","anyone",1,1
"no_word_component_columns","anything",1,1
"no_word_component_columns","anywhere",1,1
"no_word_component_columns","both",1,1
"no_word_component_columns","certain",1,1
"no_word_component_columns","each",1,1
"no_word_component_columns","either",1,1
"no_word_component_columns","enough",1,1
"no_word_component_columns","every",1,1
"no_word_component_columns","everybody",1,1
"no_word_component_columns","everyone",1,1
"no_word_component_columns","everything",1,1
"no_word_component_columns","everywhere",1,1
"no_word_component_columns","few",1,1
"no_word_component_columns","fewer",1,1
"no_word_component_columns","fewest",1,1
"no_word_component_columns","little",1,1
"no_word_component_columns","less",1,1
"no_word_component_columns","least",1,1
"no_word_component_columns","many",1,1
"no_word_component_columns","many_a",1,1
"no_word_component_columns","more",1,1
"no_word_component_columns","most",1,1
"no_word_component_columns","much",1,1
"no_word_component_columns","neither",1,1
"no_word_component_columns","last",1,1
"no_word_component_columns","next",1,1
"no_word_component_columns","no",1,1
"no_word_component_columns","none",1,1
"no_word_component_columns","nobody",1,1
"no_word_component_columns","no_one",1,1
"no_word_component_columns","nothing",1,1
"no_word_component_columns","nowhere",1,1
"no_word_component_columns","one_det",1,1
"no_word_component_columns","two_det",1,1
"no_word_component_columns","three_det",1,1
"no_word_component_columns","once",1,1
"no_word_component_columns","twice",1,1
"no_word_component_columns","thrice",1,1
"no_word_component_columns","several",1,1
"no_word_component_columns","some",1,1
"no_word_component_columns","somebody",1,1
"no_word_component_columns","someone",1,1
"no_word_component_columns","something",1,1
"no_word_component_columns","somewhere",1,1
"no_word_component_columns","somewhat",1,1
"no_word_component_columns","such",1,1
"no_word_component_columns","sufficient",1,1
"no_word_component_columns","that",1,1
"no_word_component_columns","these",1,1
"no_word_component_columns","this",1,1
"no_word_component_columns","those",1,1
"no_word_component_columns","the",1,1
"no_word_component_columns","us_det",1,2
"no_word_component_columns","we_det",1,2
"no_word_component_columns","you_det",1,1
"no_word_component_columns","what_det",1,1
"no_word_component_columns","whatever_det",1,1
"no_word_component_columns","which_rel_det",1,1
"no_word_component_columns","which_int_det",1,1
"no_word_component_columns","whichever_rel_det",1,1
"no_word_component_columns","whichever_int_det",1,1
"no_word_component_columns","zero_det",1,1
"no_word_component_columns","various_det",1,1
"no_word_component_columns","each_other",2,2
"no_word_component_columns","one_another",2,2
"no_word_component_columns","he",2,2
"no_word_component_columns","him",2,2
"no_word_component_columns","himself",2,2
"no_word_component_columns","his",2,2
"no_word_component_columns","she",2,2
"no_word_component_columns","her_acc",2,2
"no_word_component_columns","her_dep",2,2
"no_word_component_columns","hers",2,2
"no_word_component_columns","herself",2,2
"no_word_component_columns","it_plain",2,2
"no_word_component_columns","it_dum",2,1
"no_word_component_columns","its",2,2
"no_word_component_columns","itself",2,2
"no_word_component_columns","I",2,2
"no_word_component_columns","me",2,2
"no_word_component_columns","mine",2,2
"no_word_component_columns","my",2,2
"no_word_component_columns","myself",2,2
"no_word_component_columns","one_pron",2,2
"no_word_component_columns","one_s",2,2
"no_word_component_columns","oneself",2,2
"no_word_component_columns","their_sing",2,2
"no_word_component_columns","theirs_sing",2,2
"no_word_component_columns","their_plur",2,2
"no_word_component_columns","theirs_plur",2,2
"no_word_component_columns","them_sing",2,2
"no_word_component_columns","them_plur",2,2
"no_word_component_columns","themself",2,2
"no_word_component_columns","themselves",2,2
"no_word_component_columns","they_sing",2,2
"no_word_component_columns","they_plur",2,2
"no_word_component_columns","we_pron",2,2
"no_word_component_columns","us_pron",2,2
"no_word_component_columns","our",2,2
"no_word_component_columns","ours",2,2
"no_word_component_columns","ourselves",2,2
"no_word_component_columns","what_pron",2,1
"no_word_component_columns","whatever_pron",2,1
"no_word_component_columns","which_rel_pron",2,1
"no_word_component_columns","who_int",2,2
"no_word_component_columns","who_rel",2,2
"no_word_component_columns","whom_int",2,2
"no_word_component_columns","whom_rel",2,2
"no_word_component_columns","whose_int",2,2
"no_word_component_columns","whose_rel",2,2
"no_word_component_columns","whoever",2,2
