"fit_id","seed","objective","matched","ari","iterations","last_moves","selected"
"full__equal_domains__sqrt_hamming__energy",11,28.7826438721145,116,0.460164608685144,4,0,FALSE
"full__equal_domains__sqrt_hamming__energy",12,28.5300160747008,104,0.252413533231221,5,0,FALSE
"full__equal_domains__sqrt_hamming__energy",13,28.5223204969112,103,0.237788234678377,6,0,FALSE
"full__equal_domains__sqrt_hamming__energy",14,28.7826438721145,116,0.460164608685144,4,0,FALSE
"full__equal_domains__sqrt_hamming__energy",15,28.5300160747007,104,0.252413533231221,3,0,FALSE
"full__equal_domains__sqrt_hamming__energy",16,28.7303111482031,112,0.384085714474941,3,0,FALSE
"full__equal_domains__sqrt_hamming__energy",17,28.7826438721144,116,0.460164608685144,3,0,FALSE
"full__equal_domains__sqrt_hamming__energy",18,28.7847483531318,117,0.480274562291262,2,0,FALSE
"full__equal_domains__sqrt_hamming__energy",19,28.7303111482031,112,0.384085714474941,3,0,FALSE
"full__equal_domains__sqrt_hamming__energy",20,28.5300160747005,104,0.252413533231221,5,0,FALSE
"full__equal_domains__sqrt_hamming__energy",21,28.5223204969113,103,0.237788234678377,3,0,FALSE
"full__equal_domains__sqrt_hamming__energy",22,28.5223204969112,103,0.237788234678377,3,0,FALSE
"full__equal_domains__sqrt_hamming__energy",23,28.7303111482031,112,0.384085714474941,3,0,FALSE
"full__equal_domains__sqrt_hamming__energy",24,28.5223204969112,103,0.237788234678377,4,0,FALSE
"full__equal_domains__sqrt_hamming__energy",25,28.7826438721145,116,0.460164608685144,6,0,FALSE
"full__equal_domains__sqrt_hamming__energy",26,28.5223204969112,103,0.237788234678377,5,0,FALSE
"full__equal_domains__sqrt_hamming__energy",27,28.7826438721144,116,0.460164608685144,3,0,FALSE
"full__equal_domains__sqrt_hamming__energy",28,28.7826438721144,116,0.460164608685144,3,0,FALSE
"full__equal_domains__sqrt_hamming__energy",29,28.5223204969112,103,0.237788234678377,4,0,FALSE
"full__equal_domains__sqrt_hamming__energy",30,28.5223204969112,103,0.237788234678377,4,0,FALSE
"full__equal_domains__sqrt_hamming__energy",31,28.5223204969112,103,0.237788234678377,2,0,FALSE
"full__equal_domains__sqrt_hamming__energy",32,28.5223204969113,103,0.237788234678377,4,0,FALSE
"full__equal_domains__sqrt_hamming__energy",33,28.730311148203,112,0.384085714474941,3,0,FALSE
"full__equal_domains__sqrt_hamming__energy",34,28.7303111482031,112,0.384085714474941,3,0,FALSE
"full__equal_domains__sqrt_hamming__energy",35,28.7826438721144,116,0.460164608685144,4,0,FALSE
"full__equal_domains__sqrt_hamming__energy",36,28.7826438721144,116,0.460164608685144,3,0,FALSE
"full__equal_domains__sqrt_hamming__energy",37,28.7826438721144,116,0.460164608685144,6,0,FALSE
"full__equal_domains__sqrt_hamming__energy",38,28.5223204969112,103,0.237788234678377,3,0,FALSE
"full__equal_domains__sqrt_hamming__energy",39,28.7826438721144,116,0.460164608685144,3,0,FALSE
"full__equal_domains__sqrt_hamming__energy",40,28.7303111482031,112,0.384085714474941,3,0,FALSE
"full__equal_domains__sqrt_hamming__energy",41,28.5223204969113,103,0.237788234678377,4,0,FALSE
"full__equal_domains__sqrt_hamming__energy",42,28.5223204969112,103,0.237788234678377,3,0,FALSE
"full__equal_domains__sqrt_hamming__energy",43,28.7303111482031,112,0.384085714474941,3,0,FALSE
"full__equal_domains__sqrt_hamming__energy",44,28.5223204969113,103,0.237788234678377,4,0,FALSE
"full__equal_domains__sqrt_hamming__energy",45,28.7826438721144,116,0.460164608685144,3,0,FALSE
"full__equal_domains__sqrt_hamming__energy",46,28.5223204969113,103,0.237788234678377,3,0,FALSE
"full__equal_domains__sqrt_hamming__energy",47,28.7303111482031,112,0.384085714474941,3,0,FALSE
"full__equal_domains__sqrt_hamming__energy",48,28.5223204969112,103,0.237788234678377,4,0,FALSE
"full__equal_domains__sqrt_hamming__energy",49,28.7334610050983,113,0.402507280234578,4,0,FALSE
"full__equal_domains__sqrt_hamming__energy",50,28.5223204969113,103,0.237788234678377,4,0,FALSE
"full__equal_domains__sqrt_hamming__energy",51,28.5300160747005,104,0.252413533231221,4,0,FALSE
"full__equal_domains__sqrt_hamming__energy",52,28.7826438721144,116,0.460164608685144,3,0,FALSE
"full__equal_domains__sqrt_hamming__energy",53,28.7303111482031,112,0.384085714474941,3,0,FALSE
"full__equal_domains__sqrt_hamming__energy",54,28.5223204969112,103,0.237788234678377,4,0,FALSE
"full__equal_domains__sqrt_hamming__energy",55,28.5223204969112,103,0.237788234678377,3,0,TRUE
"full__equal_domains__sqrt_hamming__energy",56,28.7847483531318,117,0.480274562291262,4,0,FALSE
"full__equal_domains__sqrt_hamming__energy",57,28.5223204969112,103,0.237788234678377,4,0,FALSE
"full__equal_domains__sqrt_hamming__energy",58,28.7334610050983,113,0.402507280234578,3,0,FALSE
"full__equal_domains__sqrt_hamming__energy",59,28.5223204969112,103,0.237788234678377,3,0,FALSE
"full__equal_domains__sqrt_hamming__energy",60,28.7303111482031,112,0.384085714474941,4,0,FALSE
"full__equal_domains__sqrt_hamming__energy",61,28.5300160747006,104,0.252413533231221,4,0,FALSE
"full__equal_domains__sqrt_hamming__energy",62,28.7303111482031,112,0.384085714474941,3,0,FALSE
"full__equal_domains__sqrt_hamming__energy",63,28.7303111482031,112,0.384085714474941,3,0,FALSE
"full__equal_domains__sqrt_hamming__energy",64,28.7826438721145,116,0.460164608685144,6,0,FALSE
"full__equal_domains__sqrt_hamming__energy",65,28.5223204969112,103,0.237788234678377,5,0,FALSE
"full__equal_domains__sqrt_hamming__energy",66,28.730311148203,112,0.384085714474941,3,0,FALSE
"full__equal_domains__sqrt_hamming__energy",67,28.5223204969112,103,0.237788234678377,4,0,FALSE
"full__equal_domains__sqrt_hamming__energy",68,28.5223204969112,103,0.237788234678377,3,0,FALSE
"full__equal_domains__sqrt_hamming__energy",69,28.7826438721144,116,0.460164608685144,5,0,FALSE
"full__equal_domains__sqrt_hamming__energy",70,28.5300160747006,104,0.252413533231221,5,0,FALSE
"full__equal_domains__sqrt_hamming__energy",71,28.7826438721145,116,0.460164608685144,6,0,FALSE
