"spec_id","scope","feature_set","weighting","distance","method","k","max_k_examined","silhouette","ari"
"full__equal_domains__jaccard__pam","core","full","equal_domains","jaccard","pam",2,8,0.185342152617763,0.480202261250161
"full__equal_domains__jaccard__pam","core","full","equal_domains","jaccard","pam",3,8,0.191310296148678,0.511065856723082
"full__equal_domains__jaccard__pam","core","full","equal_domains","jaccard","pam",4,8,0.187669259845937,0.452079642122028
"full__equal_domains__jaccard__pam","core","full","equal_domains","jaccard","pam",5,8,0.179515555853132,0.323876144001363
"full__equal_domains__jaccard__pam","core","full","equal_domains","jaccard","pam",6,8,0.203512991372096,0.331834111634595
"full__equal_domains__jaccard__pam","core","full","equal_domains","jaccard","pam",7,8,0.197585269307528,0.260777881622741
"full__equal_domains__jaccard__pam","core","full","equal_domains","jaccard","pam",8,8,0.197934308365964,0.248372848055801
"full__equal_domains__jaccard__average","core","full","equal_domains","jaccard","average",2,8,0.158964998411967,-0.000224420335363643
"full__equal_domains__jaccard__average","core","full","equal_domains","jaccard","average",3,8,0.12322833409706,-0.00433349932246517
"full__equal_domains__jaccard__average","core","full","equal_domains","jaccard","average",4,8,0.0978877238348671,-0.00317192034156925
"full__equal_domains__jaccard__average","core","full","equal_domains","jaccard","average",5,8,0.192195809243537,0.655551730102167
"full__equal_domains__jaccard__average","core","full","equal_domains","jaccard","average",6,8,0.189872836676981,0.569029322469424
"full__equal_domains__jaccard__average","core","full","equal_domains","jaccard","average",7,8,0.232410700334299,0.428750272806249
"full__equal_domains__jaccard__average","core","full","equal_domains","jaccard","average",8,8,0.249496155353794,0.415106774725852
"full__unique_profiles__sqrt_hamming__pam","core","full","unique_profiles","sqrt_hamming","pam",2,8,0.137012087216416,0.754373152541918
"full__unique_profiles__sqrt_hamming__pam","core","full","unique_profiles","sqrt_hamming","pam",3,8,0.102154706152383,0.365702247259001
"full__unique_profiles__sqrt_hamming__pam","core","full","unique_profiles","sqrt_hamming","pam",4,8,0.0932851763001366,0.315784047364506
"full__unique_profiles__sqrt_hamming__pam","core","full","unique_profiles","sqrt_hamming","pam",5,8,0.114767567160006,0.358413169514679
"full__unique_profiles__sqrt_hamming__pam","core","full","unique_profiles","sqrt_hamming","pam",6,8,0.129740530593302,0.265841831629074
"full__unique_profiles__sqrt_hamming__pam","core","full","unique_profiles","sqrt_hamming","pam",7,8,0.137509170548077,0.224160055403255
"full__unique_profiles__sqrt_hamming__pam","core","full","unique_profiles","sqrt_hamming","pam",8,8,0.153353653236977,0.207773695067169
"full__unique_profiles__sqrt_hamming__average","core","full","unique_profiles","sqrt_hamming","average",2,8,0.135640898330398,0.942452203083014
"full__unique_profiles__sqrt_hamming__average","core","full","unique_profiles","sqrt_hamming","average",3,8,0.13043843307871,0.797198064651275
"full__unique_profiles__sqrt_hamming__average","core","full","unique_profiles","sqrt_hamming","average",4,8,0.14799097737556,0.681893662139864
"full__unique_profiles__sqrt_hamming__average","core","full","unique_profiles","sqrt_hamming","average",5,8,0.144355472715944,0.458955097683452
"full__unique_profiles__sqrt_hamming__average","core","full","unique_profiles","sqrt_hamming","average",6,8,0.145159264295327,0.4381195461846
"full__unique_profiles__sqrt_hamming__average","core","full","unique_profiles","sqrt_hamming","average",7,8,0.165481937950356,0.312897797636499
"full__unique_profiles__sqrt_hamming__average","core","full","unique_profiles","sqrt_hamming","average",8,8,0.165574251900845,0.307792786342415
"full__unique_profiles__hamming__pam","core","full","unique_profiles","hamming","pam",2,8,0.239645712888799,0.754373152541918
"full__unique_profiles__hamming__pam","core","full","unique_profiles","hamming","pam",3,8,0.174658323752549,0.365702247259001
"full__unique_profiles__hamming__pam","core","full","unique_profiles","hamming","pam",4,8,0.156326104084992,0.315784047364506
"full__unique_profiles__hamming__pam","core","full","unique_profiles","hamming","pam",5,8,0.190823759918379,0.358413169514679
"full__unique_profiles__hamming__pam","core","full","unique_profiles","hamming","pam",6,8,0.21741963296192,0.265841831629074
"full__unique_profiles__hamming__pam","core","full","unique_profiles","hamming","pam",7,8,0.227534817211613,0.224160055403255
"full__unique_profiles__hamming__pam","core","full","unique_profiles","hamming","pam",8,8,0.250360613611501,0.207773695067169
"full__unique_profiles__hamming__average","core","full","unique_profiles","hamming","average",2,8,0.236353473849717,0.942452203083014
"full__unique_profiles__hamming__average","core","full","unique_profiles","hamming","average",3,8,0.221880571708729,0.797198064651275
"full__unique_profiles__hamming__average","core","full","unique_profiles","hamming","average",4,8,0.249759027536749,0.681893662139864
"full__unique_profiles__hamming__average","core","full","unique_profiles","hamming","average",5,8,0.241944452977132,0.458955097683452
"full__unique_profiles__hamming__average","core","full","unique_profiles","hamming","average",6,8,0.240313334402091,0.4381195461846
"full__unique_profiles__hamming__average","core","full","unique_profiles","hamming","average",7,8,0.274832070265212,0.312897797636499
"full__unique_profiles__hamming__average","core","full","unique_profiles","hamming","average",8,8,0.274474737184503,0.307792786342415
"full__unique_profiles__jaccard__pam","core","full","unique_profiles","jaccard","pam",2,8,0.166783399981466,0.656184262785802
"full__unique_profiles__jaccard__pam","core","full","unique_profiles","jaccard","pam",3,8,0.153535171105621,0.496626705188055
"full__unique_profiles__jaccard__pam","core","full","unique_profiles","jaccard","pam",4,8,0.142011006237454,0.41175228968365
"full__unique_profiles__jaccard__pam","core","full","unique_profiles","jaccard","pam",5,8,0.147073233003675,0.316027522738242
"full__unique_profiles__jaccard__pam","core","full","unique_profiles","jaccard","pam",6,8,0.169234018581905,0.265927158789739
"full__unique_profiles__jaccard__pam","core","full","unique_profiles","jaccard","pam",7,8,0.133547986665816,0.190358635592965
"full__unique_profiles__jaccard__pam","core","full","unique_profiles","jaccard","pam",8,8,0.149802215291085,0.173070529418297
"full__unique_profiles__jaccard__average","core","full","unique_profiles","jaccard","average",2,8,0.160412601486208,0.00399148870714579
"full__unique_profiles__jaccard__average","core","full","unique_profiles","jaccard","average",3,8,0.121120101022873,0.0183310879230546
"full__unique_profiles__jaccard__average","core","full","unique_profiles","jaccard","average",4,8,0.161497764937243,0.471893147960798
"full__unique_profiles__jaccard__average","core","full","unique_profiles","jaccard","average",5,8,0.148111649137498,0.471680959139157
"full__unique_profiles__jaccard__average","core","full","unique_profiles","jaccard","average",6,8,0.147201273763727,0.460222240427107
"full__unique_profiles__jaccard__average","core","full","unique_profiles","jaccard","average",7,8,0.162671137135873,0.356093427694862
"full__unique_profiles__jaccard__average","core","full","unique_profiles","jaccard","average",8,8,0.185295733168988,0.274230317437471
"full__idf_presence__jaccard__pam","core","full","idf_presence","jaccard","pam",2,8,0.112688081499993,0.543002789188638
"full__idf_presence__jaccard__pam","core","full","idf_presence","jaccard","pam",3,8,0.112776272712586,0.419318273109329
"full__idf_presence__jaccard__pam","core","full","idf_presence","jaccard","pam",4,8,0.109920203496369,0.357862429444116
"full__idf_presence__jaccard__pam","core","full","idf_presence","jaccard","pam",5,8,0.119922159221802,0.234329775667628
"full__idf_presence__jaccard__pam","core","full","idf_presence","jaccard","pam",6,8,0.123433022850576,0.235733037516269
"full__idf_presence__jaccard__pam","core","full","idf_presence","jaccard","pam",7,8,0.117612664791474,0.164860125340789
"full__idf_presence__jaccard__pam","core","full","idf_presence","jaccard","pam",8,8,0.142158316315657,0.162548347744593
"full__idf_presence__jaccard__average","core","full","idf_presence","jaccard","average",2,8,0.0884994102456087,0.00399148870714579
"full__idf_presence__jaccard__average","core","full","idf_presence","jaccard","average",3,8,0.107958574217943,0.502959966235897
"full__idf_presence__jaccard__average","core","full","idf_presence","jaccard","average",4,8,0.09867664106885,0.485124460208577
"full__idf_presence__jaccard__average","core","full","idf_presence","jaccard","average",5,8,0.108785885672588,0.47370056872206
"full__idf_presence__jaccard__average","core","full","idf_presence","jaccard","average",6,8,0.134864667239464,0.41561310722152
"full__idf_presence__jaccard__average","core","full","idf_presence","jaccard","average",7,8,0.156217426056063,0.278346875369623
"full__idf_presence__jaccard__average","core","full","idf_presence","jaccard","average",8,8,0.159651166156495,0.252832295155939
"no_components__equal_features__sqrt_hamming__pam","core","no_components","equal_features","sqrt_hamming","pam",2,8,0.141245159266692,0.366128962429392
"no_components__equal_features__sqrt_hamming__pam","core","no_components","equal_features","sqrt_hamming","pam",3,8,0.103635437458553,0.330965581516933
"no_components__equal_features__sqrt_hamming__pam","core","no_components","equal_features","sqrt_hamming","pam",4,8,0.106885912103959,0.303944158852468
"no_components__equal_features__sqrt_hamming__pam","core","no_components","equal_features","sqrt_hamming","pam",5,8,0.12754834154657,0.369857275422162
"no_components__equal_features__sqrt_hamming__pam","core","no_components","equal_features","sqrt_hamming","pam",6,8,0.147031502905903,0.263291460671026
"no_components__equal_features__sqrt_hamming__pam","core","no_components","equal_features","sqrt_hamming","pam",7,8,0.155473048829121,0.243931002272079
"no_components__equal_features__sqrt_hamming__pam","core","no_components","equal_features","sqrt_hamming","pam",8,8,0.168458943676306,0.223685469473144
"no_components__equal_features__sqrt_hamming__average","core","no_components","equal_features","sqrt_hamming","average",2,8,0.146097898595837,0.754356879442656
"no_components__equal_features__sqrt_hamming__average","core","no_components","equal_features","sqrt_hamming","average",3,8,0.138200870793337,0.656716725529334
"no_components__equal_features__sqrt_hamming__average","core","no_components","equal_features","sqrt_hamming","average",4,8,0.131998165297588,0.681886278425476
"no_components__equal_features__sqrt_hamming__average","core","no_components","equal_features","sqrt_hamming","average",5,8,0.15172382408855,0.586849387552212
"no_components__equal_features__sqrt_hamming__average","core","no_components","equal_features","sqrt_hamming","average",6,8,0.16208094327745,0.376955525124723
"no_components__equal_features__sqrt_hamming__average","core","no_components","equal_features","sqrt_hamming","average",7,8,0.17900821235649,0.305452921500489
"no_components__equal_features__sqrt_hamming__average","core","no_components","equal_features","sqrt_hamming","average",8,8,0.181989985781143,0.277158445308406
"no_components__equal_features__hamming__pam","core","no_components","equal_features","hamming","pam",2,8,0.242678056969098,0.440477562729972
"no_components__equal_features__hamming__pam","core","no_components","equal_features","hamming","pam",3,8,0.180571775052379,0.35807329136086
